City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Tabou,CI,78.64,light rain,4.423,-7.3528,hotêl doufoulougou
425,Harrison,US,80.62,overcast clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
426,Barcelona,ES,68.54,few clouds,41.3888,2.159,Axel Hotel Barcelona
430,Payakumbuh,ID,74.64,light rain,-0.2202,100.6308,Dalimo Homestay
431,Placido De Castro,BR,75.38,overcast clouds,-10.3353,-67.1856,Hotel Carioca
435,Misratah,LY,71.28,clear sky,32.3754,15.0925,Almasa Hotel
437,Hellin,ES,65.73,broken clouds,38.5106,-1.701,Hotel Restaurante Reina Victoria
440,Dingle,PH,84.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
445,Tevaitoa,PF,80.44,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
446,Fuyang,CN,72.52,few clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
447,Mudgal,IN,79.68,overcast clouds,16.0167,76.4333,Fi Rab Hotel
451,Puerto Ayacucho,VE,79.57,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
453,Yulara,AU,68.95,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
455,Itarema,BR,76.69,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
458,Nova Olinda Do Norte,BR,75.67,light rain,-3.8881,-59.0942,Casa Juazeiro
459,San Policarpo,PH,83.98,overcast clouds,12.1791,125.5072,Agapita M. Nicart
461,Tazmalt,DZ,72.19,broken clouds,36.3868,4.3989,Hôtel Numédia
463,Cairns,AU,84.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
466,Trincomalee,LK,81.19,overcast clouds,8.5711,81.2335,Welcombe Hotel
467,Bathsheba,BB,79.36,scattered clouds,13.2167,-59.5167,Atlantis Hotel
468,Alice Town,BS,80.55,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
470,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
473,Bandarbeyla,SO,81.43,overcast clouds,9.4942,50.8122,JABIR HOTEL
474,Janauba,BR,72.97,overcast clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
476,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
477,Puerto Escondido,MX,84.92,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
479,Kifri,IQ,80.55,clear sky,34.6959,44.9661,میزان کفری
480,Shancheng,CN,75.54,clear sky,34.7953,116.0817,Shanxian Golden Dragon Hotel
481,Manoel Urbano,BR,73.74,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
483,Kagoro,NG,71.89,few clouds,9.6,8.3833,Palm Garden Hotel
