City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Coquimbo,CL,2022-05-15 04:34:31,-29.9533,-71.3436,55.13,94,100,8.05
197,Jalu,LY,2022-05-15 04:36:31,29.0331,21.5482,67.14,48,0,7.99
198,Mitsamiouli,KM,2022-05-15 04:36:31,-11.3847,43.2844,80.76,69,0,6.91
199,Cayenne,GF,2022-05-15 04:36:32,4.9333,-52.3333,82.09,1,75,4.0
200,Amga,RU,2022-05-15 04:36:32,60.8953,131.9608,44.87,41,88,8.97
201,Guerrero Negro,MX,2022-05-15 04:33:34,27.9769,-114.0611,61.83,81,8,10.69
202,Esperance,AU,2022-05-15 04:36:32,-33.8667,121.9,57.04,69,100,13.65
203,Mahebourg,MU,2022-05-15 04:36:33,-20.4081,57.7,78.26,83,40,8.05
204,Acapulco,MX,2022-05-15 04:36:33,16.8634,-99.8901,84.02,74,100,8.05
205,Cravo Norte,CO,2022-05-15 04:36:33,6.3017,-70.2041,80.37,74,100,3.96
206,Changji,CN,2022-05-15 04:34:19,44.0167,87.3167,83.19,8,0,15.66
207,Sola,VU,2022-05-15 04:36:34,-13.8833,167.55,79.83,73,83,15.23
208,Chifeng,CN,2022-05-15 04:36:34,42.2683,118.9636,68.52,15,75,13.24
209,Jennings,US,2022-05-15 04:36:35,38.7192,-90.2604,76.66,66,75,5.75
210,Nouadhibou,MR,2022-05-15 04:36:35,20.931,-17.0347,71.58,68,100,17.27
211,Samarai,PG,2022-05-15 04:36:35,-10.6167,150.6667,83.16,73,8,8.39
212,Marienburg,PL,2022-05-15 04:36:36,54.0359,19.0266,47.88,80,44,10.0
213,Kimbe,PG,2022-05-15 04:36:36,-5.5502,150.1429,86.5,67,82,5.99
214,Sioux Lookout,CA,2022-05-15 04:35:17,50.1001,-91.917,46.47,76,100,5.75
215,Okha,RU,2022-05-15 04:36:36,53.5739,142.9478,33.22,100,100,4.32
216,Brokopondo,SR,2022-05-15 04:36:37,4.75,-55.1667,76.46,92,100,5.28
