City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Vao,NC,-22.6667,167.4833,73.89,74,55,17.27,broken clouds
119,Hithadhoo,MV,-0.6,73.0833,82.8,76,100,11.88,overcast clouds
120,Qaanaaq,GL,77.484,-69.3632,21.43,76,93,5.28,overcast clouds
121,Udachnyy,RU,66.4167,112.4,37.45,93,100,2.95,overcast clouds
122,Tura,IN,25.5198,90.2201,75.63,97,100,6.82,overcast clouds
123,San Francisco,US,37.7749,-122.4194,77.11,80,75,29.93,broken clouds
124,Carnarvon,AU,-24.8667,113.6333,67.71,36,0,9.35,clear sky
125,Laguna,US,38.421,-121.4238,88.61,47,0,14.97,clear sky
126,Tuatapere,NZ,-46.1333,167.6833,58.82,54,7,4.52,clear sky
127,Fukue,JP,32.6881,128.8419,64.76,59,75,3.44,broken clouds
128,Hualmay,PE,-11.0964,-77.6139,63.54,84,9,8.72,clear sky
129,Arbuzynka,UA,47.9097,31.3196,51.58,72,50,6.33,scattered clouds
130,Barcelos,PT,41.5388,-8.6151,62.92,86,100,12.68,overcast clouds
131,Prince Rupert,CA,54.3161,-130.3201,48.29,84,100,16.11,light rain
132,Fortuna,US,40.5982,-124.1573,66.92,67,20,13.8,few clouds
133,Mogadishu,SO,2.0371,45.3438,80.01,85,9,16.04,clear sky
134,Constantine,DZ,36.365,6.6147,63.81,67,75,2.3,broken clouds
135,Natal,BR,-5.795,-35.2094,77.65,100,20,3.44,few clouds
136,Hovd,MN,48.0056,91.6419,62.98,19,100,1.57,overcast clouds
137,Lompoc,US,34.6391,-120.4579,80.56,86,100,16.11,overcast clouds
138,Adrar,MR,20.5022,-10.0711,85.66,12,8,9.35,clear sky
139,Norman Wells,CA,65.282,-126.8329,55.44,44,75,16.11,broken clouds
140,Irbil,IQ,36.1926,44.0106,78.62,29,27,10.36,scattered clouds
141,Tiksi,RU,71.6872,128.8694,15.78,92,83,5.19,broken clouds
142,Xihe,CN,31.6864,113.4659,64.8,50,100,3.47,overcast clouds
143,Namibe,AO,-15.1961,12.1522,71.15,62,8,7.94,clear sky
144,Nadym,RU,65.5333,72.5167,46.65,82,24,7.83,few clouds
145,Barrow,US,71.2906,-156.7887,33.82,80,100,5.75,overcast clouds
146,Yellowknife,CA,62.456,-114.3525,52.32,40,75,12.66,broken clouds
147,Samfya,ZM,-11.3649,29.5565,56.97,77,9,7.61,clear sky
148,Iqaluit,CA,63.7506,-68.5145,26.33,80,100,12.66,overcast clouds
149,Zalesovo,RU,53.9939,84.7431,59.47,78,24,4.45,few clouds
150,Totness,SR,5.8833,-56.3167,78.78,91,100,10.16,overcast clouds
151,Sur,OM,22.5667,59.5289,82.36,59,0,5.26,clear sky
